Sub	task	run	tsnr	fd_mean	outlier_run_Custom1
sub-189	cardgame	01	52.8539	0.1245	False
sub-189	cardgame	03	52.1709	0.1282	False
sub-189	cardgame	02	51.8469	0.1306	False
sub-203	cardgame	03	56.5626	0.1336	False
sub-203	cardgame	01	57.3643	0.0822	False
sub-203	cardgame	02	59.1654	0.0978	False
sub-207	cardgame	01	24.5706	0.1125	False
sub-207	cardgame	02	23.5709	0.1897	False
sub-208	cardgame	02	48.0466	0.1361	False
sub-208	cardgame	01	52.1965	0.1212	False
sub-208	cardgame	03	47.3025	0.1728	False
sub-209	cardgame	03	37.1701	0.3385	False
sub-209	cardgame	01	35.2149	0.2507	False
sub-209	cardgame	02	34.1177	0.2959	False
sub-210	cardgame	02	49.4968	0.1559	False
sub-210	cardgame	03	56.8643	0.1486	False
sub-210	cardgame	01	53.6417	0.1634	False
sub-211	cardgame	03	54.8427	0.1778	False
sub-211	cardgame	01	51.5868	0.1313	False
sub-211	cardgame	02	54.2154	0.1565	False
sub-212	cardgame	02	45.8958	0.4050	True
sub-212	cardgame	01	48.0167	0.1881	False
sub-213	cardgame	01	46.6651	0.2273	False
sub-213	cardgame	02	46.5333	0.2442	False
sub-214	cardgame	02	29.3903	0.2444	False
sub-214	cardgame	01	31.2040	0.1723	False
sub-214	cardgame	03	34.0534	0.1413	False
sub-215	cardgame	01	43.8376	0.2918	False
sub-215	cardgame	03	50.0180	0.1715	False
sub-215	cardgame	02	54.5986	0.1753	False
sub-216	cardgame	02	38.4506	0.1224	False
sub-216	cardgame	01	37.0846	0.1297	False
sub-217	cardgame	03	33.5640	0.2802	False
sub-217	cardgame	02	32.3035	0.5200	True
sub-217	cardgame	01	34.5770	0.2172	False
sub-218	cardgame	01	50.2370	0.1524	False
sub-218	cardgame	03	29.8232	0.7614	True
sub-218	cardgame	02	36.1385	0.5780	True
sub-219	cardgame	01	52.3481	0.1883	False
sub-219	cardgame	02	46.0291	0.2015	False
sub-219	cardgame	03	52.9533	0.1734	False
sub-220	cardgame	02	28.7377	0.3966	False
sub-220	cardgame	01	32.7877	0.2113	False
sub-220	cardgame	03	29.1520	0.1682	False
sub-221	cardgame	01	26.2283	0.1773	False
sub-221	cardgame	02	26.9005	0.2122	False
sub-221	cardgame	03	26.4897	0.2554	False
sub-222	cardgame	01	58.0159	0.1038	False
sub-222	cardgame	02	36.8946	0.3524	False
sub-222	cardgame	03	47.7406	0.1873	False
sub-225	cardgame	03	42.9656	0.2678	False
sub-225	cardgame	02	41.0397	0.2244	False
sub-225	cardgame	01	46.3443	0.1453	False
sub-226	cardgame	03	39.2372	0.1812	False
sub-226	cardgame	02	40.1876	0.1744	False
sub-226	cardgame	01	42.2850	0.1854	False
sub-227	cardgame	01	42.5037	0.2039	False
sub-227	cardgame	02	36.3615	0.3295	False
sub-227	cardgame	03	44.6472	0.1731	False
sub-228	cardgame	03	36.9492	0.2166	False
sub-228	cardgame	02	40.6248	0.1945	False
sub-228	cardgame	01	38.1683	0.2090	False
sub-230	cardgame	02	53.9618	0.1600	False
sub-230	cardgame	03	42.2891	0.2080	False
sub-230	cardgame	01	47.5518	0.2520	False
sub-231	cardgame	03	51.0642	0.1488	False
sub-231	cardgame	01	49.4417	0.1533	False
sub-231	cardgame	02	52.7545	0.1130	False
sub-232	cardgame	02	38.8644	0.3544	False
sub-232	cardgame	04	47.8844	0.1615	False
sub-232	cardgame	03	30.9219	0.7109	True
sub-232	cardgame	01	55.6519	0.1145	False
sub-233	cardgame	01	49.0634	0.1786	False
sub-233	cardgame	02	37.9336	0.3993	False
sub-234	cardgame	01	42.4161	0.2650	False
sub-234	cardgame	02	49.5983	0.2357	False
sub-234	cardgame	03	41.4638	0.2515	False
sub-235	cardgame	02	22.7184	0.1974	False
sub-235	cardgame	01	23.9240	0.2071	False
sub-235	cardgame	03	22.2122	0.2095	False
sub-236	cardgame	02	40.6776	0.1233	False
sub-236	cardgame	03	52.4808	0.1060	False
sub-236	cardgame	01	49.0789	0.1036	False
sub-237	cardgame	03	52.9565	0.1513	False
sub-237	cardgame	01	49.5988	0.1777	False
sub-237	cardgame	02	37.5443	0.2732	False
sub-238	cardgame	01	40.2707	0.2036	False
sub-238	cardgame	02	34.2599	0.4456	True
sub-238	cardgame	03	33.3153	0.8189	True
